Date,HomeTeam,AwayTeam,HomeScore,AwayScore
2024-10-17,Shrewsbury,Exeter,0,2
2024-10-12,Wrexham,Lincoln,,
2024-10-12,Wigan,Northampton,,
2024-10-12,Stockport,Wycombe,,
2024-10-12,Peterboro,Rotherham,3,3
2024-10-12,Exeter,Mansfield,,
2024-10-12,Crawley,Shrewsbury,3,5
2024-10-12,Bristol Rovers,Blackpool,,
2024-10-12,Birmingham,Cambridge United,,
2024-10-05,Wycombe,Crawley,1,0
2024-10-05,Wrexham,Northampton,4,1
2024-10-05,Stockport,Wigan,0,0
2024-10-05,Rotherham,Reading,2,1
2024-10-05,Peterboro,Stevenage,2,1
2024-10-05,Mansfield,Blackpool,2,0
